algorithm,time,samplesInsertionSort,1337,30000
SelectonSort,6026,59000
InsertionSort,3534,60000
MergeSort,7654,60000
QuickSort,0,60000
SelectonSort,6586,60000
InsertionSort,3549,61000
MergeSort,8546,61000
QuickSort,0,61000
SelectonSort,6422,61000
InsertionSort,5186,62000
MergeSort,7567,62000
QuickSort,0,62000
SelectonSort,7261,62000
InsertionSort,3835,63000
MergeSort,8208,63000
QuickSort,0,63000
SelectonSort,6883,63000
InsertionSort,4639,64000
MergeSort,9248,64000
QuickSort,0,64000
SelectonSort,9229,64000
InsertionSort,4418,65000
MergeSort,8623,65000
QuickSort,0,65000
SelectonSort,7976,65000
InsertionSort,4421,66000
MergeSort,9653,66000
QuickSort,0,66000
SelectonSort,7086,66000
InsertionSort,4275,67000
MergeSort,8653,67000
QuickSort,0,67000
SelectonSort,7237,67000
InsertionSort,4582,68000
MergeSort,8402,68000
QuickSort,0,68000
SelectonSort,7347,68000
InsertionSort,4929,69000
MergeSort,10168,69000
QuickSort,0,69000
SelectonSort,7957,69000
InsertionSort,4682,70000
MergeSort,9571,70000
QuickSort,0,70000
SelectonSort,7874,70000
InsertionSort,5115,71000
MergeSort,9841,71000
QuickSort,0,71000
SelectonSort,8957,71000
InsertionSort,5180,72000
MergeSort,10368,72000
QuickSort,0,72000
SelectonSort,8301,72000
InsertionSort,5174,73000
MergeSort,10081,73000
QuickSort,0,73000
SelectonSort,8483,73000
InsertionSort,5380,74000
MergeSort,10215,74000
QuickSort,0,74000
SelectonSort,8703,74000
InsertionSort,5405,75000
MergeSort,12087,75000
QuickSort,0,75000
SelectonSort,9649,75000
InsertionSort,6029,76000
MergeSort,12067,76000
QuickSort,0,76000
SelectonSort,9610,76000
InsertionSort,5649,77000
MergeSort,13028,77000
QuickSort,0,77000
SelectonSort,10832,77000
InsertionSort,8277,78000
MergeSort,13189,78000
QuickSort,0,78000
SelectonSort,10144,78000
InsertionSort,6294,79000
MergeSort,13830,79000
QuickSort,0,79000
SelectonSort,10656,79000
InsertionSort,6927,80000
MergeSort,12789,80000
QuickSort,0,80000
SelectonSort,10741,80000
InsertionSort,6155,81000
MergeSort,13555,81000
QuickSort,0,81000
SelectonSort,10762,81000
InsertionSort,6791,82000
MergeSort,13430,82000
QuickSort,0,82000
SelectonSort,10859,82000
InsertionSort,6838,83000
MergeSort,13739,83000
QuickSort,0,83000
SelectonSort,11030,83000
InsertionSort,7323,84000
MergeSort,15314,84000
QuickSort,0,84000
SelectonSort,11764,84000
InsertionSort,6843,85000
MergeSort,15787,85000
QuickSort,0,85000
SelectonSort,11996,85000
InsertionSort,7107,86000
MergeSort,15211,86000
QuickSort,0,86000
SelectonSort,12291,86000
InsertionSort,8086,87000
MergeSort,15565,87000
QuickSort,0,87000
